盛夏光年time 小鸟医人[doge][doge][doge][doge]
上官秦聿 小鸟医人[妙啊][doge][滑稽]

雨だから 温暖的尸体！

坑民 医学奇迹

克楚别依 非法行医的你是魔鬼吗？

红右手总指挥官 我想他肯定要去做Dclass[tv_doge]

槐荫栖夏 张三：你们为什么抓我？我明明用针灸救了她啊[doge]

3-37个字符以内 一发入魂[doge]

举杯醉星辰 一 发 入 魂 [doge]

小超人xxxx 定救死扶伤

土豆君●ｖ● 那么，如果张三的※行为对死者的复活有一定辅助作用呢

夏菲and伊小甜 好烦哦！老是看主观意义上的。。。。

雨辰4312 所以为啥不在那个人醒来的时候把她sha了，反正也没人知道，家属也不会去做尸检[doge][doge][doge][doge][doge]

九俚十浩 如果是因为他的冲击把这个人救活了，那会减刑吗？

Wrdnma 凭什么说我在侮辱尸体，我这是活塞急救法[doge]

明朝道长 那确定一个的主观思想在法律上还挺重要的啊，但咋判断呢？可以说假话的呀？

果天天6666 救人方式过当

果天天6666 过失致人生还

最穷的凛音酱 那强奸的那个人被吓死了怎么判

一个小老弟2 白雪公主

蔡徐坤的男朋友 白雪公主（新版本）？

鲍鱼会飞 草♂草？草!活了!好了总结完毕。

明月琰 妙diao回春[doge]

FullJazzen 注入生命能量

无极天心 明明是妙鸟回春

eerielyclean 女生：我觉得自己还可以抢救一下doge

JM林芊 这个简介的猜你喜欢妙啊

烂神m 不亏是小亮，这都能整活儿

超Crray的柴西 无证行医罪[doge][抠鼻]

中国希望工程 注入灵魂罪[doge]

我也会有喵 妙根回春

钬神飞机kiros 有毒

钬神飞机kiros 额额额

孟氏逍遥 看题目当然是“救人一命胜造七级浮屠[doge]”

鱼会跳舞 张三以后决定以后把人带到停尸房强奸这就不会被判强奸[doge][doge][抠鼻]

寞黯a 学到了，这就去和尸体对线[doge]

月子我衣服呢 2021年新番 与魔王大人の特殊契约[doge][doge]

呼叫小y 薛定谔的尸体

张三好怕怕 主观想侮辱尸体客观强奸，盲猜定侮辱尸体的既遂在停尸房躺着医学不是已经证明是个死人了吗？死人那不就是侮辱尸体的既遂[doge][doge][doge]：在停尸房躺着的不一定是尸体啊，很有可能是看管尸体的人。

好色班长 666

才下东山月既望 热乎的，兄弟来一口

狩野秋一 第一

川子大总攻 白嫖成功嘿嘿嘿[热词系列_打卡]

下次也一定不三连 第三。

火影兜 第二

时光与晨露 尸体犯了恐吓罪

6个硬币不值得 注入灵魂[doge][doge][doge]

洛克小肝帝 小鸟医人，根治百病，救世神针，一发入魂[doge]

洛克小肝帝 济（鸡）世神医[doge]

肆吾流 话说使用这种素材不需要授权吗

滑水菌 以前看了本侦探小说其中一个讲的有个女的有陷入假死的病，有一次在外面发病被当作尸体送到停尸间，后来靠停尸间的工人靠摩擦产生的生物电流复活了[doge]

世间再美不过百合 没有吓萎就不错了[doge]

痴汉Eric 吓都吓死了

Alongoooo 真的有人这么可怕吗，尸体都不放过[哦呼]

有琴方乐 那如果跟女朋友去宾馆结果走错房间睡错人了，这是否算qj呢？主观以为是和女朋友玩play客观构成qj，到底怎么算？

哔蟹蟹 全错不愧是我

离人寄千愁 爷全对，给我点个赞呗

う未闻う 看到后面才注意，这居然是互动视频

哔蟹蟹 鸡b渴尸

冰之初晨 难道不是救人嘛[doge]

采姑娘的大蘑菇か 不愧是我，二选一皆选错

JS985362337 诈尸罪[doge]

日本国父麦克阿瑟 我全答对了，说明我已经理解了主客观一致性，马上就去报名司法考试（做梦

路哟 我感觉不对啊！他qj尸体肯定是凉的！活人肯定是热的！他应该插进去就知道是活的了！所以我感觉应该判qj罪[吃瓜][吃瓜][吃瓜]

鬼er在丹麦 愤怒的点下了一星，明明没死被qj竟然判那么轻，真的就便宜他了[大哭][大哭][大哭]

路还长天会亮1 投个币溜了，太难了[呆]

炯然如日 无情哈拉少[调皮]

路还长天会亮1 淦，晕了[囧][囧][囧]

剑逆苍穹魂 你可以这样想，如果他不强女干尸体，那个尸体就不会复活。这样想的话，就会发现他好像救了一条人命。

中单伊布 我把一个人从死人R活了，是不是该给我来的绝世神医的称号呢?

MIDI32TB 圣精?

吃饭睡觉打六花 这波啊，这波叫生死之交[OK]

一只老_滑稽_ wdnnd我尸体动了我不日了[doge]

反重力スカート 林正英表示很淦

皓夜银龙 我就想知道 我主观上是去银行取钱 可是客观上我抢了银行该怎么判？

孙御强你再跑 你的这些视频我都不敢放大声

妹_你的开水凉了 两个都算呗

璃音の逝梦 这算救命恩人么？女方干脆以身相许把[滑稽]

三好学生大白白 便宜个锤子？这都能复活，我怀疑我是不是活在地球上？

是不桃花运 仙剑好傻[抠鼻]

芳草寸断 主观意识上认为那是尸体那就就定侮辱尸体的罪[粽子]

取名难难于登天 那个在对大体做不敬的事的时候大体醒了，然后张三被吓死了，这个罪怎么定[笑哭][笑哭][笑哭]

退休的铁驭 输精岐黄

大圣狗 角度刁钻

ㅣㄹㅁ 舍己救人

BF是兵飞哦 6666

未若遥 请问下女人GC经常少一口气那我是不是在和死人……[doge]

少艾不是少女 那我这有个问题，人没死但却在停尸房躺着了，这要是给处理掉了那咋办？谁的责任呢？这家人不得给医院医生骂死，明明人没死你给认定死亡了

王什么鑫 我记得我在别的地方看到这道题的时候 我就记住了 被强奸的只能是活物

Life-is-Player 注入灵魂[doge][doge][doge][doge]

一十二可以呀 停尸房

绘梨衣是个小怪兽 这把人救活了，胜造七级浮屠嘛！不算立功一件？气抖冷

勋的小迷弟丶 问下up主你发这个视频经过罗老师同意没[微笑]

少年真的要重新做人me 过失导致死人还阳，无罪释放。[doge][抠鼻]

KLKJH 这。。。不太好吧，活人和死人的区别不就是死人不再有生还的可能性吗？所以“能复活的尸体”本质上就是活人呀，按强奸判比较好吧

bili_54188101137 再杀掉不就完了

种花家duang 恶不恶心

The丶sixth丶Day丶魔王 操 活 了 ？

特雷西麦克格雷冰 这个讲到应该是法定符合说的例外吧

阿正11 我日 复活了!

大同创意实验室小鼹鼠 请停止你的福田孝行行为

普通的口味 这要看复活之后他停不停吧？[tv_doge]

两颗强壮的肾 生与死轮回不止笑死我了

王之挽歌 是救人 建议颁发见义勇为奖

氵血歌彡 客观上不是救死扶伤吗

冰阔落好喝伐 妙根回春hhhhhhh

特雷西麦克格雷冰 法定符合说

Ouz108 所以侮辱尸体的时候，发现尸体活了，但还继续，怎么定？？？也是侮辱既遂？？？

bili_64896215750 妙手回春[doge]

璟瑄O5 up主人才

Vortex丷 见义勇为[doge]

沙雕网友真吉跋多 每天看一条我觉得我能为所欲为[吃瓜]

醉今酒死也不充钱 难道不是应该算救人么[嫌弃][嫌弃]

江山入畫 疑惑那人能在没有刺激的情况下活过来吗？

launchpadRGB 为什么挑这些很恶心的话题，能不能说一下和人们切身利益相关的，比如劳动法维权之类的

网络可是法外之地 日活挺不错[doge]

骨头骨头骨头噗 针入还阳

一个皮包公司的老板 觉得把一个死尸强暴活了。应该定见义勇为才对。

起名字真难我不是小号 卧槽(*｀へ´*)，这个审不了死刑吧[捂脸][捂脸]

是我是我不理不理 学法律的人好恐怖，什么奇怪的事情和案件都想的出来

ader1442 老师头秃了

souliswhite 最多一个无证行医罪。

青凌绘 我居然蒙对了hhhhhhhhhh

Magictom1 妙diao回春

青凌绘 [热词系列_知识增加]

高町_奈叶菲特薇薇欧 两个都判吧[doge]，反正他就是强了

赫麦尤斯 冥土追魂

怎么体重就是上不去 不太理解。这是在法律条文的解读中加入了经验主义的价值观解读了吧？也就是说，逻辑上应该判未遂，但价值观上应该判断既遂。如果我以上说的对罗老师的理解是正确的，那么这种非逻辑论证在法庭上是可以被普遍认可吗？

改名字都不给你投币 比较恐怖的是我们村还真有一个人真的干了，结果愣是吧猝死那个女的给淦回来了[囧]

风中的独行者 题目总在刷新世界观……恶人真是没下限

白学物语 原来法律上不讲究行为事实吗

思思的可爱胖东西 @可爱胖东西的思思我又全对，我太猛了

彦青- 生死之交？

刀锋渐暖 只要我主观认为你是死人，无论过程中你是不是推搡还是尖叫。那么我强奸你就可以认定为：侮辱尸体的既遂？是这么理解吗。

金针渡人 我发现你们这些b根本不是来学习法律的，就是来吹牛逼玩梗[滑稽]

五点起床的狠人 我觉得这算在救人……

书山压力大l 整天研究这种问题，难怪罗老师秃顶[笑哭]

墨灵的白猫 休息休息吧都有点西谢顶了[大哭]

山上的栗子树 见义勇为未遂

黑暗小FA师 舒服罪

马化腾的爸爸是我 阔以

ljbeiji 卧槽活了[微笑]

Cyinc_ 注   入   灵   魂[doge]

玉面银枪俏三郎 看了标题后头皮发麻[囧]

瑜霁 辱尸未遂

北沐凉城丶 你把电给充上了，当然就复活了。

吾妻高木天下第一 这是一针强心剂啊

烤红薯de马 灵魂法师，通过法器注入灵魂。[doge]

冷喵喵pp 奇怪的知识增加了[热词系列_知识增加]

正正经经可可爱爱 那这个人在停尸房自己又判断了一下知道这人没死，其实想强奸，然后招供的时候说是想侮辱尸体呢？

妖酒久 薛定谔的人，在未强j的时候，你永远不清楚你犯的是强j还是侮辱尸体[嫌弃]

数字者的大魔王 薛定谔的人

bili_29573140368 只能定比较轻的罪，反之容易造成灭口

语念此生 [热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]

258酱 猜测主客观产生矛盾，是奸尸的未遂和强奸的既遂，

哼小破站 果然打一针就好了[OK]

山泽君追番日记 注入生命？

tayorc 就没选对过，太难了

bili_94267850133 又一次全对[呲牙]

等我光芒 已举报

今下两花 见义勇为罪！

苍穹高处 妙手回春枪[奸笑]

风言林梢 为什么我看不懂[囧]

爱吃祥丶 妙手回春

阎大诤 判不了死刑吧

木偶丶独角戏 根治百病[doge]

小黑小白bl 我很好奇万一这男的被吓死了，那个前尸体会承担责任吗

25325896115_bili [热词系列_知识增加]

TOM猫爸爸 VSPDS-131

秃头稻长 被注入灵魂了[doge]

支付宝到账壹佰元 奇怪的罪犯增加了[热词系列_知识增加]

斯丢呗李白 安娜弗里茨的尸体

我周树人不背锅 妙根回春[doge]

胧光之努亚达 ？？？？？？

菜铲丶呆刺 发一面锦旗得了。另外尸体不是自然人也没有人权，亵渎尸体是不是不算犯罪？

蓝七SAMA 这都能投自制可还行！

爱吃葱花千层饼 再水一方

口袋兽sho 怕不是下半辈子都吓软了[滑稽]

滩潭毯炭 懂了，这就去停尸房溜达，准备救人[doge]

小林ol 注入灵魂罪

老夫要吃巧克力 杀死比尔？

面-瘫 张三强奸完尸体，尸体复活了，张三事前不知道尸体没死，请问是侮辱尸体还是强奸？？？？？

尘埃⑧洅 复活尸体

徽老板儿 这种标题真恶趣味

企业级先进人物 医学奇迹

大空不知火 一大早上的???

南山ぇ 什么鬼？

普通游戏人 妙计（鸡）回春？？？[doge]

嘿-Siri_播放我的音乐 主观辱尸，客观强奸，定辱尸既遂，主观伤害，客观杀人，伤害既遂，过失杀人，主观强奸，客观辱尸，定强奸未遂主观杀人，客观伤害，定杀人未遂

pain6D 干了强奸的事，接受辱尸的罪，血赚

沉默的花边 尸姬[滑稽]

无产阶级英雄 明白了，这就去停尸房

古剑刚回家结婚 张三现在越来越嚣张了

av56099539 [热词系列_害怕]

嗯果然肥 张三在注入灵魂？医学奇迹

三百米长的大黄鳝 《黄弟内经》[蛆音娘_滑稽]

绿头-_ B站真的变味了。回不到以前那个单纯的B站了。整站都充斥着这些低俗恶趣味，触目皆这些跳梁小丑哗众取宠。我搞不懂素质这么差的一个人为什么会一而再再而三的出现在我的推荐里面。屏蔽都没用。 心里很不是滋味。哦原来是我看得多所以才推荐这么多，那没事了[OK][OK]

沥泫 秽土转生

暴力紫罗兰 b站人均变态，这视频跑热榜上去了[抠鼻]

最弱之神 @孙笑川258

大概是只狗子吧 兄弟们，把公屏打在害怕上

求伤求败求刺激 非法行医

__屿__ 请问不给钱就不算嫖有法律依据吗[滑稽]

47729209044_bili 张三qj尸体，尸体复活，张三吓得不举去了医院，碰见了李四，突然性质大起qj了李四，李四生气，拿着棍子去报仇打错了人，被王五反杀打死，这时候张三出现，qj李四尸体，李四复活，睁眼掐死了张三，都犯什么罪？

可可爱爱小橘子 噗总是有奇奇怪怪的案件出现在主页

风声喧嚣 就不能整点阳间问题

树上5只鸟 法的目的是什么

bili_90240902281 不是，人家在b站有号，你还在这搬视频

24岁丶是司机 哎，越来越离谱

辰鸢鸢喵呜 我寻思我qj的是死人我为什么要告诉他们我最开始是以为那是个活人[doge][doge]

改名不信欧不了 不用定罪，反正家属会打死你[妙啊][妙啊][妙啊]

掉色先生 我觉得就按结果定罪，不管是否主观意志！故意杀人跟过失杀人刑罚差太远了，杀人偿命天经地义！

昵称为空t 我看他快死了 给她做人工呼吸呢

佚名嘉 懂了 主观上想侮辱校花 客观上是强奸校花。

今天作废 主观上是保护死人，客观上是保护活人

跪地40发描边 主客观相统一+想象竞合从一重罪

C酱天下第一 真事儿？不是就有点。。

啊呵呵 居然都选对了。给我的感觉就是判什么只管现实你做了什么。比如这事。不管你主观想不想强j。但事实上面前的不是活人，所以这时候就应该出大威天龙了[doge]话说，有没有强j致活的情况。。

不曾怀恋 生死之交[doge]

小种经略相公 包容评价

丶Nokia 第一眼看成赶尸了…………

两根腋毛 封面有点东西

顾得衣舞宁 弹幕的非法行医笑死我了[喜极而泣]

不噬元虽兽 医学奇迹

蜻蜓队长bill 你就是馋她的身子  死活都无所谓

鳥不落帝國 妙吊回春[滑稽]

Moooongo 非法行医罪

小死森 要判多久？

第一贞德厨 针灸圣手

BAKAYARO00 当事人是用共振的方法为休克假死的被害人做脉搏复苏，当事人并没有触犯任何违法行为

把你号给老子交了 这还定罪?这造福人类的选手不给个国家顶级保护动物?

我运气超好的- 四个选项这么难

我又出六星啦 ？这不是华佗转生入dio悬根济世？

雪鸢yukitobi 看个视频还要互动好麻烦啊

超高校级的幸运的妹夫 大家觉得活人和死人有没有重合？答：薛定谔的尸体

诡异的神 明白了张三的jy能复活死人

赫尔梅斯001 狗题目，全选错[囧][大哭]五星好评五次付清[委屈]

该账户已失联 该睡觉了

萌萌哒央音小琴语 非法行医罪

心形冠状病毒 这标题就离谱。。

缘生今世 啊，好烧脑啊[捂脸]

bili_309875731 主观上不是想强奸，客观上不是尸体，四个选项都不对

bili_512870418 睡不着。

ctk744 首先你就证明不了你是想要强奸还是辱尸，所以应该是数罪并罚

人的思维就是四维空间 既然人已经活了，那就按强奸罪来处理呗。

资本的-力量 发条友善的评论，皆大欢喜啊，人活了，人被抓了

是奕渊啊 我全错，我是不是不能当法师了

neko蜜雅Hinatadesu 盲猜辱尸未遂，强奸既遂[OK]

AsomeOne 难道这种机械运动跟心脏复苏有异曲同工之处。。。

太平帝君 修仙

CnNB12344 现在还有活人吗，请报道[doge][doge]好好想想为什么会给你推荐这种视频[吃瓜][滑稽][doge]

空白弱无敌 一个死尸被打了一针，救活了，救死扶伤，见义勇为

验证码拧在一起好累 这就是起死回生？您就是华佗再世？

吾六没有柒 真像只有一个，该女子太久没受到滋润委屈离开人世，该男子路过抚摸该女子发现还是热的，就趁热打铁，该女子还没走远被他一扎，完成了一个医学奇迹[吃瓜][吃瓜]

小圆号瞎鸡儿吹 强行复活罪[滑稽]

bili_36023464890 吓死人

黑犬黑犬桑 这是医学的奇迹啊。[doge]

奥巴马哔狗 见 义 勇 为

舰队之盾欧根欧 见。。见义勇为罪？[doge]

楚清涯和她的小友们 全对

コソコソわたし 救人活命

楼文雪 薛定谔的人。。[热词系列_知识增加]

Sylvanasi 这标题我看一眼就是“咦惹”的表情

梵仔 奇怪的知识好像又增加了。。。

清蒸鱼爱好者v1 额，先感谢他把死人救活了

微笑掩饰着忧伤丶 离谱

爱喝东京自来水的种酱 白嫖成功

無賴丶 叫我白嫖怪

敬仲小白 哈哈哈

林疯刚 慢了点，先两个币

我就健身不说话 这个有点重口味

三才逝 康硬币康康多少人答错

盛夏光年time 小鸟医人[doge][doge][doge][doge]

bili_65047976 张三强奸尸体，尸体立即复活，张三被吓死，请问尸体够不够成过失杀人罪，够不够成诈骗罪。

种地的勇者 救死扶伤罪

大试兄 非法行医

小古岛 张三：我把她日活了，怎么还定我的罪呢，家属该给我送锦旗啊

鸣人地方 也就是说尸体和活人都是&#34;人&#34;，只不过是死和活的区别。活人＝尸体＋意识。

漩涡丶丶丶刘能 张三现在连尸体都不放过了[大哭]公屏们，把兄弟打在[热词系列_害怕]上

关注一下我好嘛秋梨膏 白雪公主？？？

Accele_ 生死之交[doge]

雨天日 睡不着。

Monspeet 刚看完上一个视频就发现更了新视频

Bili_473840824 嫌疑人是在渡阳救人~应该无罪释放~着真实见义勇为啊[滑稽]

就是那个啥啥 所以。。。为什么是未遂。。。不是重合了吗。。

没什么名字的 非法行医罪

如果你真的爱我 我觉得应定义为“强奸既遂”，我的想法是，法律应杜绝这种不道德的行为，并防止新型犯罪的产生，如果定义为辱尸既遂，从行为规范上不能很好的约束犯罪者，甚至促使犯罪目标从“尸体”转移到“活人”身上的可能性。如有不同想法，欢迎各位理性探讨，研究。[小电视_赞]

幸运D的yby 还以为是孙笑川

Intrestina 非法行医罪[doge]

-晚灯望屏- 真·爽的  死 去 活 来

最喜欢小女仆 不如死了算了哇，这么舒服的吗！不死了男：[热词系列_知识增加]

核能塵曦淬燚融鈊引擎 炮兵急救术(｀・ω・´)

Mordekasier-S 构成侮辱尸体的既遂[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]，那被害人明明活着却莫名成了法律上的“尸体”感觉好奇怪啊[笑哭]。

爱德华-柯察金 把没死的人送进停尸房，定什么罪

哔站好玩 张三:其实我在救人，当时我看她还有点气息，可是心肺复苏不方便， 于是我就用了针灸的疗法[呆]

满身浮肿的偷牛贼 1播放量2评论，抢楼牛逼嗷[点赞]

泉乄回忆 “白嫖失败，投币继续”?你不会觉得这就算原创视频了吧?在厚大法考罗翔老师的课里也截一段做个互动视频出来这不是谁都能?你要是做个好的原创的关于罗翔老师的剪辑让人投币也行，这是吗？再或者，就算是转载，规范转载给大家普法，这也就算了，你这是啥?把转载视频做成互动视频就能原创，就这还让大家投币?看到你这句话的时候真的给我气笑了

关弹幕看视频 看来我这种讲逻辑的人果然不适合学法律[笑哭]

丶钟灵毓秀 本来要不行了，被爽醒了？

逍遥自在散仙 便宜了这哥们[doge]

好孩啪 根治百病[妙啊][妙啊][doge]

上官秦聿 小鸟医人[妙啊][doge][滑稽]

雨だから 温暖的尸体！

坑民 医学奇迹

克楚别依 非法行医的你是魔鬼吗？

红右手总指挥官 我想他肯定要去做Dclass[tv_doge]

槐荫栖夏 张三：你们为什么抓我？我明明用针灸救了她啊[doge]

3-37个字符以内 一发入魂[doge]

举杯醉星辰 一 发 入 魂 [doge]

小超人xxxx 定救死扶伤

土豆君●ｖ● 那么，如果张三的※行为对死者的复活有一定辅助作用呢

夏菲and伊小甜 好烦哦！老是看主观意义上的。。。。

雨辰4312 所以为啥不在那个人醒来的时候把她sha了，反正也没人知道，家属也不会去做尸检[doge][doge][doge][doge][doge]

九俚十浩 如果是因为他的冲击把这个人救活了，那会减刑吗？

Wrdnma 凭什么说我在侮辱尸体，我这是活塞急救法[doge]

明朝道长 那确定一个的主观思想在法律上还挺重要的啊，但咋判断呢？可以说假话的呀？

果天天6666 救人方式过当

果天天6666 过失致人生还

最穷的凛音酱 那强奸的那个人被吓死了怎么判

一个小老弟2 白雪公主

蔡徐坤的男朋友 白雪公主（新版本）？

鲍鱼会飞 草♂草？草!活了!好了总结完毕。

明月琰 妙diao回春[doge]

FullJazzen 注入生命能量

无极天心 明明是妙鸟回春

eerielyclean 女生：我觉得自己还可以抢救一下doge

JM林芊 这个简介的猜你喜欢妙啊

烂神m 不亏是小亮，这都能整活儿

超Crray的柴西 无证行医罪[doge][抠鼻]

中国希望工程 注入灵魂罪[doge]

我也会有喵 妙根回春

钬神飞机kiros 有毒

钬神飞机kiros 额额额

孟氏逍遥 看题目当然是“救人一命胜造七级浮屠[doge]”

鱼会跳舞 张三以后决定以后把人带到停尸房强奸这就不会被判强奸[doge][doge][抠鼻]

寞黯a 学到了，这就去和尸体对线[doge]

月子我衣服呢 2021年新番 与魔王大人の特殊契约[doge][doge]

呼叫小y 薛定谔的尸体

张三好怕怕 主观想侮辱尸体客观强奸，盲猜定侮辱尸体的既遂在停尸房躺着医学不是已经证明是个死人了吗？死人那不就是侮辱尸体的既遂[doge][doge][doge]：在停尸房躺着的不一定是尸体啊，很有可能是看管尸体的人。

好色班长 666

才下东山月既望 热乎的，兄弟来一口

狩野秋一 第一

川子大总攻 白嫖成功嘿嘿嘿[热词系列_打卡]

下次也一定不三连 第三。

火影兜 第二

时光与晨露 尸体犯了恐吓罪

6个硬币不值得 注入灵魂[doge][doge][doge]

洛克小肝帝 小鸟医人，根治百病，救世神针，一发入魂[doge]

洛克小肝帝 济（鸡）世神医[doge]

肆吾流 话说使用这种素材不需要授权吗

滑水菌 以前看了本侦探小说其中一个讲的有个女的有陷入假死的病，有一次在外面发病被当作尸体送到停尸间，后来靠停尸间的工人靠摩擦产生的生物电流复活了[doge]

世间再美不过百合 没有吓萎就不错了[doge]

痴汉Eric 吓都吓死了

Alongoooo 真的有人这么可怕吗，尸体都不放过[哦呼]

有琴方乐 那如果跟女朋友去宾馆结果走错房间睡错人了，这是否算qj呢？主观以为是和女朋友玩play客观构成qj，到底怎么算？

哔蟹蟹 全错不愧是我

离人寄千愁 爷全对，给我点个赞呗

う未闻う 看到后面才注意，这居然是互动视频

哔蟹蟹 鸡b渴尸

冰之初晨 难道不是救人嘛[doge]

采姑娘的大蘑菇か 不愧是我，二选一皆选错

JS985362337 诈尸罪[doge]

日本国父麦克阿瑟 我全答对了，说明我已经理解了主客观一致性，马上就去报名司法考试（做梦

路哟 我感觉不对啊！他qj尸体肯定是凉的！活人肯定是热的！他应该插进去就知道是活的了！所以我感觉应该判qj罪[吃瓜][吃瓜][吃瓜]

鬼er在丹麦 愤怒的点下了一星，明明没死被qj竟然判那么轻，真的就便宜他了[大哭][大哭][大哭]

路还长天会亮1 投个币溜了，太难了[呆]

炯然如日 无情哈拉少[调皮]

路还长天会亮1 淦，晕了[囧][囧][囧]

剑逆苍穹魂 你可以这样想，如果他不强女干尸体，那个尸体就不会复活。这样想的话，就会发现他好像救了一条人命。

中单伊布 我把一个人从死人R活了，是不是该给我来的绝世神医的称号呢?

MIDI32TB 圣精?

吃饭睡觉打六花 这波啊，这波叫生死之交[OK]

一只老_滑稽_ wdnnd我尸体动了我不日了[doge]

反重力スカート 林正英表示很淦

皓夜银龙 我就想知道 我主观上是去银行取钱 可是客观上我抢了银行该怎么判？

孙御强你再跑 你的这些视频我都不敢放大声

妹_你的开水凉了 两个都算呗

璃音の逝梦 这算救命恩人么？女方干脆以身相许把[滑稽]

三好学生大白白 便宜个锤子？这都能复活，我怀疑我是不是活在地球上？

是不桃花运 仙剑好傻[抠鼻]

芳草寸断 主观意识上认为那是尸体那就就定侮辱尸体的罪[粽子]

取名难难于登天 那个在对大体做不敬的事的时候大体醒了，然后张三被吓死了，这个罪怎么定[笑哭][笑哭][笑哭]

退休的铁驭 输精岐黄

大圣狗 角度刁钻

ㅣㄹㅁ 舍己救人

BF是兵飞哦 6666

未若遥 请问下女人GC经常少一口气那我是不是在和死人……[doge]

少艾不是少女 那我这有个问题，人没死但却在停尸房躺着了，这要是给处理掉了那咋办？谁的责任呢？这家人不得给医院医生骂死，明明人没死你给认定死亡了

王什么鑫 我记得我在别的地方看到这道题的时候 我就记住了 被强奸的只能是活物

Life-is-Player 注入灵魂[doge][doge][doge][doge]

一十二可以呀 停尸房

绘梨衣是个小怪兽 这把人救活了，胜造七级浮屠嘛！不算立功一件？气抖冷

勋的小迷弟丶 问下up主你发这个视频经过罗老师同意没[微笑]

少年真的要重新做人me 过失导致死人还阳，无罪释放。[doge][抠鼻]

KLKJH 这。。。不太好吧，活人和死人的区别不就是死人不再有生还的可能性吗？所以“能复活的尸体”本质上就是活人呀，按强奸判比较好吧

bili_54188101137 再杀掉不就完了

种花家duang 恶不恶心

The丶sixth丶Day丶魔王 操 活 了 ？

特雷西麦克格雷冰 这个讲到应该是法定符合说的例外吧

阿正11 我日 复活了!

大同创意实验室小鼹鼠 请停止你的福田孝行行为

普通的口味 这要看复活之后他停不停吧？[tv_doge]

两颗强壮的肾 生与死轮回不止笑死我了

王之挽歌 是救人 建议颁发见义勇为奖

氵血歌彡 客观上不是救死扶伤吗

冰阔落好喝伐 妙根回春hhhhhhh

特雷西麦克格雷冰 法定符合说

